product_titles,min_salaries,annual_fees,rates,salary_transfers,features,details,cashback,discounts,reward_point,shopping,dining,golf_benefits,travel_benefits
Emirates Islamic - RTA Card,"AED 5,000",AED 0,3.49%,No,"Cash Back, Discounts / Vouchers / Offers, Balance Transfer, Islamic Finance, No Salary Transfer","Key Benefits
Fuel Spends
Get 10% Cashback on Fuel Spends.
RTA Transport Payments
Get 10% Cashback on RTA Transport Payment.
Guaranteed Cashback on all spends
Earn up to 2.25% cashback per AED 1 Spend.
NOL Card
Built in Nol card for easy access and payments on RTA transport network.
Reward Benefits
Enjoy up to 10% Cashback
RTA Transport Payments 10% AED 100
Fuel Stations 10% AED 100
International Up to 2.25% Unlimited
Domestic (Base Cashback*) Up to 1.25% Unlimited
Cashback Redemption
Redeem your cashback points within seconds through Online Banking or through our Mobile Banking app.
All you need to do is follow the steps below:
Log in to your Emirates Islamic account through Online Banking or Mobile Banking
Click on 'Cards'
Tap on 'Rewards'
Select 'Redemption' and submit your request.
Additional Benefits
Facilities available on the RTA Credit Card
Complimentary Reel Cinemas Movie Tickets
Enjoy 15% off on Emaar Entertainment Attractions
Emergency Cash and Card replacement
Extended Warranty
Payment Options
Purchase Protection
Salary Requirement: 
5,000 AED For UAE Nationals
10,000 AED For Expats

Representative Example",Fuel Spends Get 10% Cashback on Fuel Spends. RTA Transport Payments Get 10% Cashback on RTA Transport Payment. Guaranteed Cashback on all spends Earn up to 2.25% cashback per AED 1 Spend.,2.25% Unlimited Domestic (Base Cashback*) Up to 1.25% Unlimited Cashback Redemption,Enjoy up to 10% Cashback,Earn up to 2.25% cashback per AED 1 Spend. NOL Card Built in Nol card for easy access and payments on RTA transport network. Reward Benefits Enjoy up to 10% Cashback RTA Transport Payments 10% AED 100 Fuel Stations 10% AED 100 International Up to 2.2,15% off on Emaar Entertainment Attractions,5% off on Emaar Entertainment Attractions,Up to 2.25% Unlimited Domestic (Base Cashback*) Up to 1.25% Unlimited Cashback Redemption
Al Hilal Bank - Smart Covered Platinum Card,"AED 5,000",AED 0,3.25%,No,"Discounts / Vouchers / Offers, Islamic Finance, Sharia Compliant, No Salary Transfer","Features
0% profit rate Balance Transfer
Up to 90% of your available credit limit can be accessed
Minimum amount for Balance Transfer is AED 1000
0% profit rate Instant Cash
Up to 80% of your available credit limit can be accessed
The minimum amount for Instant Cash is AED 5000
Funds will be transferred to the beneficiary’s account anywhere in the UAE in AED currency
Exclusive Rewards Earn 1.5 joud rewards for every AED 1 spent overseas and Earn 1 joud reward for every AED 1 spent locally
Digital Wallet Enabled - Apple Pay, Google Pay, Samsung Pay, Fitbit Pay & Garmin Pay
Superior Travel and Living
Airport dining discounts with DragonPass Dine & Travel mobile app
Up to 25% off stays at Jumeirah properties
20% off at Jumeirah Restaurants
20% off at Meraas Dining establishments
Buy One, Get One Free ENTERTAINER offers at 40 selected merchants
Golf access
Free Supplementary Cards",Earn 1.5 joud rewards for every AED 1 spent overseas and Earn 1 joud reward for every AED 1 spent locally,"Buy One, Get One Free ENTERTAINER offers at 40 selected merchants",Earn 1.5 joud rewards for every AED 1 spent overseas and Earn 1 joud reward for every AED 1 spent locally,Earn 1.5 joud rewards for every AED 1 spent overseas and Earn 1 joud reward for every AED 1 spent locally,"Buy One, Get One Free ENTERTAINER offers at 40 selected merchants",Free Supplementary Cards,Earn 1.5 joud rewards for every AED 1 spent overseas and Earn 1 joud reward for every AED 1 spent locally
CBD - World MasterCard,"AED 25,000",AED 787,3.69%,Yes,"Airport Lounge Access, Cinema Offers, Golf Benefits, Free Travel Insurance, Valet Parking, Dining/Discounts/Offers, Free for 1st year, Up to 5 free supplementary credit cards, Fitness & Wellness Memberships","Features
No Annual Fee for the first year on Primary Card
Airport Lounge Access: Free access to an international network of VIP airport lounges.
Reward points for every dirham spent.
Mastercard® Moments Privileges: Premium rewards program reserved for World Mastercard® cardholders.
Chip & Pin: Protection against fraud with the latest technology in card security.
Spends of AED 5,000 using digital wallets (Apple Pay, Google Pay or Samsung Pay)
Supplementary Card: Free for life, for family and age above 15 years
Reward points for every Dirham spent
Complimentary flexible wellness membership with ClassPass app.
Free Valtrans valet parking 4 times per month at Dubai International Airport (Terminal 1 and Terminal 3), Al Maktoum International Airport ,Box Park and many more locations.
50% discount on 4 cinema tickets across VOX, Reel or Novo cinemas per calendar month.
20% discount on F&B at Reel Cinemas on a minimum spend of AED 20 or more.
20% discount on Emaar attractions regular admission tickets: KidZania® | Dig It | E-Kart Zabeel | Dubai Aquarium and Underwater Zoo explorer experience
15% discount at Dubai Ice Rink public session tickets
Bonus credits on VR Park Dubai
Credit Shield
Complimentary airport lounge access to over 1,200 lounges globally
Get up to 10% Cashback on your spends done at Booking.com",Get up to 10% Cashback on your spends done at Booking.com,"50% discount on 4 cinema tickets across VOX, Reel or Novo cinemas per calendar month. 20% discount on F&B at Reel Cinemas on a minimum spend of AED 20 or more. 20% discount on Emaar attractions regular admission tickets: KidZania® | Dig",Reward points for every Dirham spent,Reward points for every dirham spent,20% discount on F&B at Reel Cinemas on a minimum spend of AED 20 or more,Reward points for every Dirham spent,Airport Lounge Access: Free access to an international network of VIP airport lounges. Reward points for every dirham spent. Mastercard® Moments Privileges: Premium rewards program reserved for World Mastercard® cardholders. Chip & Pin: Protection against fraud with the latest technology in card security.
DubaiFirst Miles Visa Infinite Card,"AED 30,000","AED 1,500",3.19%,No,"Discounts / Vouchers / Offers, Balance Transfer, Air Miles, Airport Lounge Access, Cinema Offers, Golf Benefits, No Salary Transfer","Features
Premium luxury lifestyle & travel benefits
Redeem DubaiFirst Miles for anyone
50,000 welcome bonus DubaiFirst Miles
Free airport drop/pick up has min ticket spend of 5,000
Min spend of AED 2,500 for free valet parking","Free airport drop/pick up has min ticket spend of 5,000","Free airport drop/pick up has min ticket spend of 5,000","50,000 welcome bonus","Free airport drop/pick up has min ticket spend of 5,000","AED 2,500 for free valet parking","Free airport drop/pick up has min ticket spend of 5,000","Free airport drop/pick up has min ticket spend of 5,000"
Emirates NBD - Platinum Credit Card,"AED 12,000",AED 700,3.25%,No,"Cash Back, Discounts / Vouchers / Offers, Balance Transfer, Airport Lounge Access, Golf Benefits, Free Supplementary Cards, No Salary Transfer","Features
Up to AED 60,000 job loss cover for up to 12 months or until re-employment
Exclusive current offer: No Annual Fees
Unlimited complimentary lounge access to over 25 regional and international airports
Up to 40% discount at over 100 golf courses worldwide
Up to 30% discount when you book with Cleartrip
Exclusive offers and deals on travel, lifestyle, shopping and more","Up to AED 60,000",Up to 40% discount at over 100 golf courses worldwide,"Up to AED 60,000",Up to 40% discount at over 100 golf courses worldwide,Up to 40% discount at over 100 golf courses worldwide,Up to 40% discount at over 100 golf courses worldwide,Unlimited complimentary lounge access to over 25 regional and international airports
ADIB - Etisalat Visa Platinum Card,"AED 20,000",AED 999,3.09%,No,"Balance Transfer, Islamic Finance, Sharia Compliant, No Salary Transfer","Features
70,000 Sign Up Etisalat Smiles points, earn up to 4 Etisalat smiles for every 1 AED spent local and international transaction*
Free Valet Parking
24/7 Chat Banking with ADIB
Airport Lounge Access
Withdraw 100% of your finance limit as cash
Ways To Pay
ADIB Mobile Banking App, anytime and anywhere",Earn up to 4 Etisalat smiles for every 1 AED spent local and international transaction*,"70,000 Sign Up Etisalat Smiles points",earn up to 4 Etisalat smiles for every 1 AED spent local and international transaction*,earn up to 4 Etisalat smiles for every 1 AED spent local and international transaction* Free Valet Parking 24/7 Chat Banking with ADIB Airport Lounge Access Withdraw 100% of your finance limit as cash,Free Valet Parking,Free Valet Parking,Earn up to 4 Etisalat smiles for every 1 AED spent local and international transaction* Free Valet Parking 24/7 Chat Banking with ADIB Airport Lounge Access Withdraw 100% of your finance limit as cash
Citibank - Citi Simplicity,"AED 5,000",AED 0,3.5%,No,"Discounts / Vouchers / Offers, Balance Transfer, Airport Lounge Access, Free Supplementary Cards, No Salary Transfer","Features
No annual fee, late payment fee, cash advance fee or overlimit fee- ever
Access to select airport lounges across the Middle East with MasterCard Travel Pass app
20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout.
PayLite: turn any big purchases into small payments
Complimentary supplementary cards for your family members",20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout,,20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout. PayLite: turn any big purchases into small payments Complimentary supplementary cards for your family members,20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout. PayLite: turn any big purchases into small payments Complimentary supplementary cards for your family members,20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout,Access to select airport lounges across the Middle East with MasterCard Travel Pass app,Access to select airport lounges across the Middle East with MasterCard Travel Pass app 20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout. PayLite: turn any big purchases into small payments Com
ADIB - Value Card,"AED 5,000",AED 0,3.09%,No,"Islamic Finance, Travel Benefits, No Salary Transfer","Features
Get rewarded for your local and international spend
Redeem points earned for free flights and shopping vouchers
Enjoy up to 25% discount on selected dining outlets across the UAE.
Advanced Chip&Pin technology making purchases and withdrawing cash secure
Free grace period up to 55 days to repay your outstanding balance",Redeem points earned for free flights and shopping vouchers,25% discount on selected dining outlets,free flights and shopping vouchers,Redeem points earned for free flights and shopping vouchers,up to 25% discount on selected dining outlets,Redeem points earned for free flights and shopping vouchers,Redeem points earned for free flights and shopping vouchers
Citibank - Emirates-Citibank Ultima,"AED 36,750","AED 3,000",3.25%,No,"Balance Transfer, Air Miles, Airport Lounge Access, Cinema Offers, Golf Benefits, Free Supplementary Cards, No Salary Transfer","Features
25,000 Sign-up bonus Skywards Miles for the 1st year when you apply for the card & 10,000 Bonus Miles annually upon renewal
Earn up to 2.5 Skywards Miles per $ spend
Exclusive 100% metal card + Skywards Silver Membership
Unlimited golf on weekdays and 1 free round on weekends per month
Complimentary Valet Parking twice a month with Valtrans
Unlimited access to 1,100+ lounges worldwide (+guest) with MasterCard Travel Pass app
Insurance cover for online purchases up to $1,000 per year, at no additional cost
6 complimentary airport rides per year (up to AED 110 each) using code """"MAUAE6“ on the Careem app.
‘Buy 1 Get 1 free’ movie tickets at VOX & REEL cinemas
Get access to hundreds of Buy 1 Get 1 offer with the free Mastercard® priceless specials app
Fast, safe and effortless purchases, with Apple Pay & Google Pay
Complimentary Silver Bronze Meet & Greet service once a year at Dubai International Airport.
Complimentary International Concierge Service
Complimentary Travel Insurance""
Offers
Get 25,000 welcome bonus Skywards Miles when you apply for the card and 10,000 Skywards Miles annually upon payment of annual fee
Citibank Terms & Conditions apply",Earn up to 2.5 Skywards Miles per $ spend,"25,000 Sign-up bonus Skywards Miles for the 1st year when you apply for the card",Earn up to 2.5 Skywards Miles per $ spend,Earn up to 2.5 Skywards Miles per $ spend,‘Buy 1 Get 1 free’ movie tickets at VOX & REEL cinemas,Unlimited golf on weekdays and 1 free round on weekends per month,"Unlimited golf on weekdays and 1 free round on weekends per month Complimentary Valet Parking twice a month with Valtrans Unlimited access to 1,100+ lounges worldwide (+guest) with MasterCard Travel Pass app Insurance cover for online purchases up to $1,000 per year, at no additional cost 6 complimentary airport"
ADCB - TouchPoints Infinite Credit Card,"AED 40,000","AED 1,050",3.25%,No,"Cash Back, Discounts / Vouchers / Offers, Balance Transfer, Airport Lounge Access, Golf Benefits, No Salary Transfer","A world of infinite possibilities
With the wide range of benefits and privileges from complimentary stay, online food delivery discounts, entertainment deals and much more to compliment your lifestyle

VOX Cinemas- Buy one get one FREE
Hotels.com Voucher AED 1,200- 2 nights stay anywhere in the world!
15,000 Bonus TouchPoints- For spends of AED 15,000
Talabat Orders- 20% off your orders

Rewards
Earn up to 1.5 TouchPoints for every AED 1 spent with your card
Receive 15,000 bonus TouchPoints when you spend AED 15,000 each month
Lifestyle Benefits
A complimentary 2 nights’ stay anywhere in the world
Buy 1 Get 1 free on movie tickets
Buy 1 Get 1 free on Coffee
15% off Noon.com
Complimentary golf access
Visa xperience with the ENTERTAINER offer
Global Concierge
Travel Benefits
Unlimited complimentary airport lounge access
Dragon Pass “Dine & Fly” airport Dining program
Other Visa Benefits
Avis Rent a Car Benefits
Other benefits
Credit Card Loan
Balance Transfer
Instalments Payment Plans
0% interest on School fee payments
Interest-Free Days
Manage your card through our mobile app and internet banking
Convenient payment options
Set up Auto Debit Instructions
FlexiPay","15,000 Bonus TouchPoints- For spends of AED 15,000 Talabat Orders- 20% off your orders",Buy 1 Get 1 free on movie tickets Buy 1 Get 1 free on Coffee 15% off Noon.com Complimentary golf access,"15,000 Bonus TouchPoints- For spends of AED 15,000 Talabat Orders- 20% off your orders",Talabat Orders- 20% off your orders,"VOX Cinemas- Buy one get one FREE Hotels.com Voucher AED 1,200- 2 nights stay anywhere in the world! 15,000 Bonus TouchPoints- For spends of AED 15,000 Talabat Orders- 20% off your orders",Complimentary golf access,Unlimited complimentary airport lounge access Dragon Pass “Dine & Fly” airport Dining program Other Visa Benefits Avis Rent a Car Benefits Other benefits
The American Express - Platinum Credit Card,"AED 21,250",AED 700,3.25%,No,"Discounts / Vouchers / Offers, Air Miles, Airport Lounge Access, No Salary Transfer","Features
2 Membership Rewards® points with every AED 4 spent. Redeemable at 14 airlines, 3 hotels partners and on merchandise from leading brands
Across fashion, electronics and more.
Annual fee waiver with FeeBack* upon spending at least AED 10,000 on purchases within the first 3 months.
Complementary Global Airport Lounge Access with Priority Pass™ for up to 12 visits with a guest.
Comprehensive Retail Insurance for up to AED 5,400 and Travel Accident Insurance for up to AED 1,800,000. :Access to more than 1,300 lounges across 140 countries
Travel Accident Insurance for up to AED 1,800,000 and Travel Inconvenience Insurance for up to AED 5,400
Up to 2 complimentary Supplementary Cards
Eligibility Criteria for the 30K MR points joining offer","Annual fee waiver with FeeBack* upon spending at least AED 10,000 on purchases within the first 3 months",2 Membership Rewards® points with every AED 4 spent,2 Membership Rewards® points with every AED 4 spent,"2 Membership Rewards® points with every AED 4 spent. Redeemable at 14 airlines, 3 hotels partners and on merchandise from leading brands Across fashion, electronics and more. Annual fee waiver with FeeBack* upon spending at least AED 10,000 on purchases within the first 3 months. Complementary Global Airport Lounge",Complementary Global Airport Lounge Access with Priority PassTM for up to 12 visits with a guest,Complementary Global Airport Lounge Access with Priority PassTM for up to 12 visits with a guest,"Complementary Global Airport Lounge Access with Priority PassTM for up to 12 visits with a guest. Comprehensive Retail Insurance for up to AED 5,400 and Travel Accident Insurance for up to AED 1,800,000. :Access to more than 1,300 lounges across 140 countries Travel Accident Insurance for up to A"
Al Hilal Bank - Smart Covered Platinum Card,"AED 5,000",AED 0,3.25%,No,"Discounts / Vouchers / Offers, Islamic Finance, Sharia Compliant, No Salary Transfer","Features
0% profit rate Balance Transfer
Up to 90% of your available credit limit can be accessed
Minimum amount for Balance Transfer is AED 1000
0% profit rate Instant Cash
Up to 80% of your available credit limit can be accessed
The minimum amount for Instant Cash is AED 5000
Funds will be transferred to the beneficiary’s account anywhere in the UAE in AED currency
Exclusive Rewards Earn 1.5 joud rewards for every AED 1 spent overseas and Earn 1 joud reward for every AED 1 spent locally
Digital Wallet Enabled - Apple Pay, Google Pay, Samsung Pay, Fitbit Pay & Garmin Pay
Superior Travel and Living
Airport dining discounts with DragonPass Dine & Travel mobile app
Up to 25% off stays at Jumeirah properties
20% off at Jumeirah Restaurants
20% off at Meraas Dining establishments
Buy One, Get One Free ENTERTAINER offers at 40 selected merchants
Golf access
Free Supplementary Cards",Earn 1.5 joud rewards for every AED 1 spent overseas and Earn 1 joud reward for every AED 1 spent locally,"Buy One, Get One Free ENTERTAINER offers at 40 selected merchants",Earn 1.5 joud rewards for every AED 1 spent overseas and Earn 1 joud reward for every AED 1 spent locally,Earn 1.5 joud rewards for every AED 1 spent overseas and Earn 1 joud reward for every AED 1 spent locally,"Buy One, Get One Free ENTERTAINER offers at 40 selected merchants",Free Supplementary Cards,Earn 1.5 joud rewards for every AED 1 spent overseas and Earn 1 joud reward for every AED 1 spent locally
CBD - World MasterCard,"AED 25,000",AED 787,3.69%,Yes,"Airport Lounge Access, Cinema Offers, Golf Benefits, Free Travel Insurance, Valet Parking, Dining/Discounts/Offers, Free for 1st year, Up to 5 free supplementary credit cards, Fitness & Wellness Memberships","Features
No Annual Fee for the first year on Primary Card
Airport Lounge Access: Free access to an international network of VIP airport lounges.
Reward points for every dirham spent.
Mastercard® Moments Privileges: Premium rewards program reserved for World Mastercard® cardholders.
Chip & Pin: Protection against fraud with the latest technology in card security.
Spends of AED 5,000 using digital wallets (Apple Pay, Google Pay or Samsung Pay)
Supplementary Card: Free for life, for family and age above 15 years
Reward points for every Dirham spent
Complimentary flexible wellness membership with ClassPass app.
Free Valtrans valet parking 4 times per month at Dubai International Airport (Terminal 1 and Terminal 3), Al Maktoum International Airport ,Box Park and many more locations.
50% discount on 4 cinema tickets across VOX, Reel or Novo cinemas per calendar month.
20% discount on F&B at Reel Cinemas on a minimum spend of AED 20 or more.
20% discount on Emaar attractions regular admission tickets: KidZania® | Dig It | E-Kart Zabeel | Dubai Aquarium and Underwater Zoo explorer experience
15% discount at Dubai Ice Rink public session tickets
Bonus credits on VR Park Dubai
Credit Shield
Complimentary airport lounge access to over 1,200 lounges globally
Get up to 10% Cashback on your spends done at Booking.com",Get up to 10% Cashback on your spends done at Booking.com,"50% discount on 4 cinema tickets across VOX, Reel or Novo cinemas per calendar month. 20% discount on F&B at Reel Cinemas on a minimum spend of AED 20 or more. 20% discount on Emaar attractions regular admission tickets: KidZania® | Dig",Reward points for every Dirham spent,Reward points for every dirham spent,20% discount on F&B at Reel Cinemas on a minimum spend of AED 20 or more,Reward points for every Dirham spent,Airport Lounge Access: Free access to an international network of VIP airport lounges. Reward points for every dirham spent. Mastercard® Moments Privileges: Premium rewards program reserved for World Mastercard® cardholders. Chip & Pin: Protection against fraud with the latest technology in card security.
DubaiFirst Miles Visa Infinite Card,"AED 30,000","AED 1,500",3.19%,No,"Discounts / Vouchers / Offers, Balance Transfer, Air Miles, Airport Lounge Access, Cinema Offers, Golf Benefits, No Salary Transfer","Features
Premium luxury lifestyle & travel benefits
Redeem DubaiFirst Miles for anyone
50,000 welcome bonus DubaiFirst Miles
Free airport drop/pick up has min ticket spend of 5,000
Min spend of AED 2,500 for free valet parking","Free airport drop/pick up has min ticket spend of 5,000","Free airport drop/pick up has min ticket spend of 5,000","50,000 welcome bonus","Free airport drop/pick up has min ticket spend of 5,000","AED 2,500 for free valet parking","Free airport drop/pick up has min ticket spend of 5,000","Free airport drop/pick up has min ticket spend of 5,000"
Emirates NBD - Platinum Credit Card,"AED 12,000",AED 700,3.25%,No,"Cash Back, Discounts / Vouchers / Offers, Balance Transfer, Airport Lounge Access, Golf Benefits, Free Supplementary Cards, No Salary Transfer","Features
Up to AED 60,000 job loss cover for up to 12 months or until re-employment
Exclusive current offer: No Annual Fees
Unlimited complimentary lounge access to over 25 regional and international airports
Up to 40% discount at over 100 golf courses worldwide
Up to 30% discount when you book with Cleartrip
Exclusive offers and deals on travel, lifestyle, shopping and more","Up to AED 60,000",Up to 40% discount at over 100 golf courses worldwide,"Up to AED 60,000",Up to 40% discount at over 100 golf courses worldwide,Up to 40% discount at over 100 golf courses worldwide,Up to 40% discount at over 100 golf courses worldwide,Unlimited complimentary lounge access to over 25 regional and international airports
ADIB - Etihad Guest Gold Card,"AED 5,000","AED 1,000",3.09%,No,"Islamic Finance, Sharia Compliant, Air Miles, Airport Lounge Access, Roadside Assistance, No Salary Transfer","Features
Pay your Etihad Covered Card Annual fees using Etihad Guest Miles
Fast Track to Etihad Guest Silver Tier
Earn DOUBLE Etihad Guest Miles get up to 100,000 Etihad Guest Miles the first time you use your new card
Welcome bonus of 35,000 Etihad Guest Miles - earn up to 1.5 Etihad Guest Miles for every AED 4 spent (to a maximum of 100,000 Miles per month
Free Companion Ticket Voucher when you spend AED 150,000 or more
Free Airport LoungeKey access to 850+ VIP airport lounges worldwide
Free Roadside Assistance
Advanced Chip & Pin Technology
Ways To Pay
earn 1 Etihad Guest Mile and 1 Tier Mile for every AED 3 you spend across Etihad Guest “miles on the go”","Earn up to 1.5 Etihad Guest Miles for every AED 4 spent (to a maximum of 100,000 Miles per month)",a,"Earn DOUBLE Etihad Guest Miles get up to 100,000 Etihad Guest Miles the first time you use your new card Welcome bonus of 35,000 Etihad Guest Miles - earn up to 1.5 Etihad Guest Miles for every AED 4 spent (to a maximum of 100,000","Earn up to 1.5 Etihad Guest Miles for every AED 4 spent (to a maximum of 100,000 Miles per month) Free Companion Ticket Voucher when you spend AED 150,000 or more Free Airport LoungeKey access to 850+ VIP airport lounges worldwide Free Roadside Assistance",Free Airport LoungeKey access to 850+ VIP airport lounges worldwide,"Earn up to 1.5 Etihad Guest Miles for every AED 4 spent (to a maximum of 100,000 Miles per month) Free Companion Ticket Voucher when you spend AED 150,000 or more Free Airport LoungeKey access to 850+ VIP airport lounges worldwide Free Roadside Assistance","Earn DOUBLE Etihad Guest Miles get up to 100,000 Etihad Guest Miles the first time you use your new card Welcome bonus of 35,000 Etihad Guest Miles - earn up to 1.5 Etihad Guest Miles for every AED 4 spent (to a maximum of 100,000"
Citibank - Citi Simplicity,"AED 5,000",AED 0,3.5%,No,"Discounts / Vouchers / Offers, Balance Transfer, Airport Lounge Access, Free Supplementary Cards, No Salary Transfer","Features
No annual fee, late payment fee, cash advance fee or overlimit fee- ever
Access to select airport lounges across the Middle East with MasterCard Travel Pass app
20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout.
PayLite: turn any big purchases into small payments
Complimentary supplementary cards for your family members",20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout,,20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout. PayLite: turn any big purchases into small payments Complimentary supplementary cards for your family members,20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout. PayLite: turn any big purchases into small payments Complimentary supplementary cards for your family members,20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout,Access to select airport lounges across the Middle East with MasterCard Travel Pass app,Access to select airport lounges across the Middle East with MasterCard Travel Pass app 20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout. PayLite: turn any big purchases into small payments Com
Al Hilal Bank - Smart Covered Platinum Card,"AED 5,000",AED 0,3.25%,No,"Discounts / Vouchers / Offers, Islamic Finance, Sharia Compliant, No Salary Transfer","Features
0% profit rate Balance Transfer
Up to 90% of your available credit limit can be accessed
Minimum amount for Balance Transfer is AED 1000
0% profit rate Instant Cash
Up to 80% of your available credit limit can be accessed
The minimum amount for Instant Cash is AED 5000
Funds will be transferred to the beneficiary’s account anywhere in the UAE in AED currency
Exclusive Rewards Earn 1.5 joud rewards for every AED 1 spent overseas and Earn 1 joud reward for every AED 1 spent locally
Digital Wallet Enabled - Apple Pay, Google Pay, Samsung Pay, Fitbit Pay & Garmin Pay
Superior Travel and Living
Airport dining discounts with DragonPass Dine & Travel mobile app
Up to 25% off stays at Jumeirah properties
20% off at Jumeirah Restaurants
20% off at Meraas Dining establishments
Buy One, Get One Free ENTERTAINER offers at 40 selected merchants
Golf access
Free Supplementary Cards",Earn 1.5 joud rewards for every AED 1 spent overseas and Earn 1 joud reward for every AED 1 spent locally,"Buy One, Get One Free ENTERTAINER offers at 40 selected merchants",Earn 1.5 joud rewards for every AED 1 spent overseas and Earn 1 joud reward for every AED 1 spent locally,Earn 1.5 joud rewards for every AED 1 spent overseas and Earn 1 joud reward for every AED 1 spent locally,"Buy One, Get One Free ENTERTAINER offers at 40 selected merchants",Free Supplementary Cards,Earn 1.5 joud rewards for every AED 1 spent overseas and Earn 1 joud reward for every AED 1 spent locally
Simplylife - Family Credit Card,"AED 5,000",AED 0,3.25%,No,"Discounts / Vouchers / Offers, Cinema Offers, Travel Benefits, No Salary Transfer","Features
Travel discounts enjoy up to 5% discount on flights, up to 10% discount on hotels on cleartrip.ae.
Movies Simply buy 2 tickets at any cinema in the UAE for any show and earn cashback for the tickets (max monthly cashback for these tickets is AED 70/-). This is applicable on a minimum monthly spend of AED 1500/- and the cashback will be automatically credited.
Photo Card, make your best memories live longer
Balance Transfer, save with amazingly low interest rates.
Personal Payment Plan and Credit card loan Split your everyday purchase transactions and pay in easy instalments of 6, 9, 12, 18 or 24 months.
Card control safety
Credit Shield insurance plan cover credit card",Movies Simply buy 2 tickets at any cinema in the UAE for any show and earn cashback for the tickets (max monthly cashback for these tickets is AED 70/-).,"Travel discounts enjoy up to 5% discount on flights, up to 10% discount on hotels on cleartrip.ae","up to 5% discount on flights, up to 10% discount on hotels","Travel discounts enjoy up to 5% discount on flights, up to 10% discount on hotels on cleartrip.ae. Movies Simply buy 2 tickets at any cinema in the UAE for any show and earn cashback for the tickets (max monthly cashback for these tickets is AED 70/-). This is applicable",Movies,Golf benefits,"up to 5% discount on flights, up to 10% discount on hotels"
Citibank - Citi Premier,"AED 15,000",AED 750,3.25%,Yes,"Cash Back, Discounts / Vouchers / Offers, Balance Transfer, Air Miles, Airport Lounge Access, Cinema Offers, Golf Benefits, Free Supplementary Cards, Travel Benefits, Free Travel Insurance","Features
Redeem points for cash rebates, staycation bookings, travel related spend, or transfer to 12 partner airlines including Emirates, Etihad, flydubai & British Airways
6 complimentary airport rides per year (up to AED 110 each) using code """"MAUAE6“ on the Careem app.
10% amazon instant discount once a month
15% Carrefour instant discount once a month
20% talabat instant discount twice a month
Flat 30% off 4 movie tickets at VOX cinemas
Unlimited access to 1,100+ lounges worldwide (+guest) with MasterCard Travel Pass app
Complimentary golf once a month at some of the best golf courses in the UAE
Get access to hundreds of Buy 1 Get 1 offer with the free Mastercard® priceless specials app
Fast, safe and effortless purchases, with Apple Pay
Complimentary Travel Insurance and Purchase Protection
Complimentary Marhaba Bronze Meet & Greet service once a year at Dubai International Airport
Citibank World Privileges, Free Citibank Alerting service and much more
Offers
Apply for a Citi Premier Credit Card and get up AED 350 welcome offer as a statement credit.
Citibank Terms & Conditions apply",10% amazon instant discount once a month 15% Carrefour instant discount once a month 20% talabat instant discount twice a month Flat 30% off 4 movie tickets at VOX cinemas,10% amazon instant discount once a month 15% Carrefour instant discount once a month 20% talabat instant discount twice a month Flat 30% off 4 movie tickets at VOX cinemas,"Redeem points for cash rebates, staycation bookings, travel related spend, or transfer to 12 partner airlines including Emirates, Etihad, flydubai & British Airways 6 complimentary airport rides per year (up to AED 110 each) using code """"MAUAE6“ on the Care",10% amazon instant discount once a month 15% Carrefour instant discount once a month 20% talabat instant discount twice a month Flat 30% off 4 movie tickets at VOX cinemas,10% amazon instant discount once a month 15% Carrefour instant discount once a month 20% talabat instant discount twice a month Flat 30% off 4 movie tickets at VOX cinemas,Complimentary golf once a month at some of the best golf courses in the UAE,"Redeem points for cash rebates, staycation bookings, travel related spend, or transfer to 12 partner airlines including Emirates, Etihad, flydubai & British Airways 6 complimentary airport rides per year (up to AED 110 each) using code """"MAUAE6“ on the Care"
